comments,sentiments
Advertising on social medias allows us to reach a lot of people,positive
Security agencies have access to people personal accounts, negative
Most of the people get lazy because of the excessive use of social networking sites, negative
Dangerous stunts are performed by the teenagers because of the successful stunts made and shared over the social media, negative
Poeple are inspired by others and get addicted to the drugs and alcohol, negative
You can educate yourself without paying for it,positive
People are using social media for donation for needy people,positive
It creates awareness,positive
Get online free degrees,positive
Show the world your capabilites,positive
People tend to interfere in eachothers' life, negative
You can find the lost ones on social media,positive
Get paid without leaving your home,positive
You can have access to every kind of information,positive
Helps you develop an online business,positive
Online complaints are helpful for different deaprtments,positive
You can buy things online,positive
Your products can be promoted,positive
You get the latest fashion updates,positive
Through social media people are forgotten their moral values, negative
Totally waste of time,negative
Sometimes information provided from social sites are unauthentic,negative
Source of earnings,positive
Connected with people,positive
Freedom of convey ones point of view in any topic or in any situation,positive
It keeps us updated about whatever is happening around the globe,positive
Cross culture intimacy,positive
Way of doing global networking between people with reduced time effort and cost,positive
Waste of money,negative
Without social media we are not aware to know about the other side of world,positive
Reduce family relations or closeness,negative
Effect on health eyes sight and other diseases,negative
It involves discussion,positive
Social media can be hacked and  data can be stolen,negative
social media is not protected,negative
Improve communication,positive
Mental disturbance,negative
Diverse interaction with people of different cultures and creed,positive
More business  opportunities,positive
Gives people a license to be hurtful,negative
Decreases face to face communication skills,negative
Facilities laziness,negative
Reduce family closeness,negative
Creates a skewed self-image,negative
Lacks emotional connection,negative
Conveys inauthentic expression or feelings,negative
Couses distractions,negative
Social media increases voter participation,positive
Criminals can use social media to promote crimes,negative
Social media use can cause  brain disorders,negative
Through social media anxiety or depression occurs,negative
Social media can be a drain on time and use up hours that you cant get back,negative
Social peer pressure and cyber bullying,positive
Online interaction substitution for offline interaction,positive
Sedentary lifestyle habits and sleep disruption,negative
It makes it easy for students to reach the faculty personally,negative
It increases students' participation,positive
It's an easy way to communicate with a team during team projects,positive
It makes sharing information easy and simple,positive
Relying too much on social media,negative
Use to improve ones mood,positive
Increasing tolerance,positive
Loss of other interests,negative
Continued use despite awareness of the harm its causing,negative
Unsuccessful attempts to quit,negative
It helps advertising you and your brand,positive
Social networking sites made it easier to find old friends or families as well as making new friends,positive
Social media sites help employers find employees and job seekers find work,positive
Social media sites are expanding from general interest to more specific uses that benefit society,positive
Law enforcement uses social networking sites to catch and prosecute criminals,positive
Posting inappropriate statuses/pictures,negative
Another danger is that scammers use social networking sites to trick,negative
Attention spans of social media addicts are literally extinct,negative
Most of the information on Facebook and Twitter is either fake or motivated,negative
People believe in such trash and form opinions,negative
facebook and Twitter are killing our reading habits,negative
Social media posts promote envy and greed,negative
Social media spreads information faster than any other media,positive
Pay all types of bills via online,positive
Social media lacks privacy,negative
Social media can lead to stress and offline relationship problems,negative
Using social media can harm job stability and employment prospects,negative
Way of becoming a star,positive
Social media sites help students do better at school,positive
Students post inappropriate content at times which damages the reputation of themselves as well as the organisation they're a part of,negative
People become certified chef through social media by taking online classes,positive
Political awareness,positive
No authentic source for particular information family links and connection and relation losing its worth,negative
People tend to spend more time with society and online friends than friends,negative
Harassmennt issues are getting more common,negative
Wasting of quality time in search for any information with many links and extra materials,negative
Current up-to-date,positive
Instant source for connection,positive
Gets the latest fashion updates,positive
Social media teaches life lessons,positive
Source of interaction with new people,positive
Very useful in getting knowledge,positive
Blackmailing through social media is very common,negative
People uses social media in negative perspective ,negative
Too time consuming,negative
Social media makes the world global village,positive
You can Raise voice for justice through social media,positive
Social media is the cheap source of communication,positive
Spreads fake news,negative
Helpful to disseminate the news very fast,positive
Information on social media are not reliable,negative
You can get a lot of useful information through social media,positive
Can be easily accessibe by everyone,positive
Free to use,positive
Addictive like an alcohol,negative
Facilitate cyber-bullying,negative
Provide access to educational opportunities,positive
Exposes internal affairs,negative
Useful in group discussion,positive
Helpul in clarifying concepts about certain topic,positive
Ruining life through stalking,negative
Interactive platform for internet users,positive
Source of online harassment for teens,negative
Social media can influence suicidal behaviour,negative
Provides a place where people are able to receive support during challenging times,positive
Makes easy to find people with common intrests,positive
On social media we may interact with people that we don’t want to,negative
Help grow your bussiness through marketing,positive
Provides opportunity to grow relationship with your audience for bussiness,positive
Increase anxiety among users,negative
Great way to keep up with friends,positive
Helps in remembering personal experiences,positive
Cyber crimes increases through social mediA,negative
Entertainment source by play online games,positive
Helps improve your cooking skills by joining renowned chef pages,positive
Shaping public opinion,positive
Hurt your self esteem,negative
Reduces face to face interaction,negative
Decrease the usage of language skills,negative
Helps to finding online jobs,positive
People promote their profession brands by posting on social media sites,positive
Promotes violance,negative
Encourage customers to voice their thoughts,positive
Bad for psycholigical health,negative
Make us unsocial,negative
Forum for support during crisis,positive
Valuable aid for crime solving,positive
Given true vioce to people,positive
Influence the outcomes of potential decisions,negative
Best way to connect across vast distances,positive
Helps people to know more about you without meeting you,positive
Helps in making online events and forums,positive
Social media helps getting to know whats new and trending,positive
Conveys inauthentic expression of feeling,negative
Creates lazziness among people,negative
Reduces family closeness,negative
Helps in education without paying for it,positive
Helps in finding missing people,positive
Social media helps in builiding relationships with customers,positive
Social media can easily ruin someone's reputation by spreading rumors all over social sites,negative
Decreases outdoor activities of children,negative
Distracts students from their career,negative
Waste a lot of time of students,negative
You become updated about current issues,positive
Helps students to find scolarships,positive
Prove beneficial in group projects,positive
Decreses our sleeping hours,negative
Personal data can easily be hacked through social media,negative
On social media couples have cheated each other by showing fake feelings,negative
Creates awareness and innovate the way people live,positive
Improves bussiness sales and reputation,positive
Helps in bulilding communities of own religion,positive
Helps to gain islam related knowledge by following respected islamic scholars,positive
Increases fraud rate and scams,negative
Used to send information to others,positive
You can easily access books that are not easily available,positive
Makes your personality viral in between high profile people,positive
Makes easy to follow right people at right time,positive
Provides you to make bussiness deals easily,positive
Give opportunity to get maximum trust from your clients with video conferencing calling,positive
Social media sites has a lot of fake accounts to share spammy content,negative
Promotes open communication,positive
Some social media sites are too complex to use,negative
Someone can  personally attacked you by criticising  you,negative
Helps gathering feedback from customers,positive
negative comments reflects badly on your bussiness,negative
Provide access to connect with many famous stars and celebrities,positive
Performs surveys to collect information,positive
Brings people with common intrests together,positive
Sometimes post inappropriate stuff/pictures,negative
Allows users to exchange ideas,positive
Promotes vulnerability,negative
Being used as a way to hurt people,negative
Creates skewed self image and develops something we are not,negative
Helps to track criminals,positive
Improves person's overall quality of life,negative
Give people the chance to raise their voice on important issues,positive
Divides a person's attention from other tasks,negative
Source of spreading false information about an incident,negative
Wastes an enormous amount of time,negative
Exposes people to potentially dangerous situations,negative
Great way of entertainment after a busy life routine,positive
Make easy to organize an event and invite friends,positive
You can blog about your opinions to express yourself in a non-violent way,positive
Maintains simple and easy interaction among people,positive
Easily accessible for free and anytime,positive
Helps students to share their academic achievements,positive
Encourages students,positive
Increase brand recognition by advertising,positive
Creates political awareness among people,positive
Produces disturbance in your life,negative
Helps us to get updated to new fashion trends,positive
Cheap advertisement source,positive
Helps students to choose their college or university,positive
Engage the followers,positive
Conveys inauthentic information,negative
A tool to express individual feeling,positive
Lacks privacy,negative
Destroys marriages by providing covert connections with others,negative
Affects marital life,negative
Become the source of spreading viruses,negative
Provide hackers the opportunity to steal and misuse personal information,negative
Eables the spread of unreliable and false information,negative
Can harm job stability and employment prospects,negative
Stuedents who are heavy social media uers tend to have ow grades,negative
Promotes envy and greed among people,negative
Increases crime rate among teens,negative
Spread information faster,positive
Hepls to track down thieves,positive
Allows people to improve their relationship,positive
Boost stress,negative
Empower bussiness women,positive
Improve the quality of life,positive
Facilitates face to face interaction through video calling,positive
Increases voters participation,positive
Facilitates political change,positive
Used by criminals to promote and commit crimes,negative
Empowers individual to make social change,positive
Helps senior citizens feel more connected to society,positive
Enables sexting which can lead to criminal charges,negative
Helps people who are socially isolated and shy to connect with other people,positive
Aid the spread of hate groups,negative
Provides academic research tO awider audience,positive
Allows people acccess to previously unavailable educational resources,positive
Facilitates inappropriate student teacher realationship,negative
Provides student a platform to collaborate with teachers of international universities,positive
Offer the way for musicians and artists to build audience,positive
Rapid source of communication during crisis event,positive
Users are vulnerable to security attacks such as hacking,negative
Leading to emotional and psychologiacal problems,positive
Great way to showcase your portfolio,positive
A great source of healthy interactions with variety of people and also extended connections,positive                                                             
Created lots of competition and comparison among people due to interaction among different classes,"positive	"
A reason to spread rumours,negative
Spread unauthorized and unauthetic data within few minutes causing trouble at state level,negative
Helped in spending spare time in a healthy fashion by instead of gossiping around generally people and utilize that time here,negative
A source of great awareness,positive
Caused too much distance in a family interactionS,negative
Bring the positive change among people through social media campaigns,positive
A low cost effective tool for researchers & educationists,positive
Blog posts  eBooks and web content etc helps publicizing our content to a mass audience,positive
Provides freedom to the people the way they want to use it,positive
Addictive behavior towards use of social media may put health issues,negative
"Social media is more vulnerable to misinterpreting your intentions towards an issue	",negative
Might not prove a valid source of information,negative
We become well informed about the current affairs happening, positive
getting jobs are easy,positive
It has reduced face to face communication, negative
cyber crimes are getting very common, negative
productivity level has been decreased, negative
 issues over privacy will always be a big concern,negative
With so much  sharing going on,neutral
social skills are getting destroyed, negative
Information is disclosing to extreme level, negative
awareness about new fashion,positive
It keeps up to date with the current technology,positive
Social media is being used in unefficient manner, negative
It is a Wastage of time, negative
Not good for childrens, negative
way of extracting Information about what is happening all over the globe,positive
people can share their personal stuff,positive
People who share their family pictures is not secured enough, negative
it is being effectively used for online studies,positive
Personal information: sharing geographical location @ checking  in with their exact location on social media and tagging the location  where they work & live, negative
Predators (eg: Rapists) can obtain this information & easily identify where they can find you at any given time, negative
Promoting Crimes, negative
It makes keeping in touch with friends circle in an easy manner,positive 
facility to send personal emails to individuals,positive
Twitter really awares from current circumstances,positive
People can communicate with each other who are at long distances,positive
 Facebook is creating anxiety among people, negative 
 It is useless because it is not secured, negative
Source of income these days,positive
Social sites are badly censored, negative
People are trolling eachother through this, negative
Blackmailing is increasing day by day through this, negative
Fake accounts on social apps are stimulating, negative
people are threatening each other through this, negative
main problem of social sites is cyber bullying, negative
Inappropriate ads on sites, negative
differnet courses can be enrolled online,positive
Information is not protected at all, negative
People are earning staying at home,positive
Eyesight becomes weak by staying up on phones for so long using social sites, negative
grabbing knowledge is easy,positive
Seeking a new job has become effortless,positive
awareness about latest fashion in the market,positive
taking away people from their religion, negative
fount of entertainment,positive
Bad for adults and childrens, negative
It is a trap for youngsters, negative
It provides ability to connect to other people sitting anywhere,positive
hatred is alarming because of social media, negative
originator of communication,positive
Discovering live news,positive
Commonality of interest: you can pick and  choose those individuals who has similar  likes and dislikes,positive
getting product and services referrals is easy,positive
Great opportunities for business person,positive
leading to fun and enjoyment,positive
emotions and sentiments are getiing unworthy through excess use of social media, negative
Material is overwhelmed, negative
People can be harassed for 24*7  and it can be done anonymously,negative
The best part of advertising in social networking site is that you can spread the word for free,positive
it provides variety of things such as recieving support from like minded individuals,positive
Privacy issues are very frequent, negative
It give opportunity to new comers  to show up their capabilities,positive
We can educate ourself on our own,positive
We can connect with people anytime,positive
Addiction of childrens towards it is harmful, negative
it voilates moral values, negative
Dishonesty is becoming viral,positive
victims of cyber crimes could go as far as  taking their lives or become psychologically distressed enough to require  medical attention, negative
Entrepreneurs can find contacts via professional groups and make use of the  large user bases to market their products and services,positive
Most thieves need just a few key pieces of your  personal information (date of birth & name & location)  to create a false identity, negative
Place of exchange news and get updated on friends and  family,positive
People are cheating on eachother, negative
Facebook has a range of services designed to help businesses market  themselves more effectively,positive
"By having company social network profile, you can deliver improved customer service and  respond effectively to feedback",positive
It is subjected to be a great platform for skilled person,positive
Research on anything is easy to be carried out,positive
Information posted on Social networking Sites is available to everyone, negative
Your personal information opens  up the possibility for hackers to commit fraud & increase the risk, negative
person's self esteem is boosted,positive
Promotions about anything can be done on instagram,positive
high chance of  someone stealing your private information/photos & use it  against you, negative
people earn through social sites,positive
It takes zero balance to message people through whatsapp,positive
This reduces their  learning and research capabilities, negative
"Without verification of someones identity,  one  could befriend a complete stranger & not even know it",negative
studies facility while staying at home,positive
Loss of Motivation in Students, negative
Women empowerment is assisting,positive
Excess use causes mental health problems and  sometimes it harms their body too, negative
Can expose individuals to harassment or inappropriate contact  from others, negative
Exposure to negativeitivity, negative
It is easier and faster to make new friends or business connections or extend  their personal base,positive
You can virtually meet with your friends  online anytime,positive
people suffers of inferiority complex, negative
Staying up to date with what's going on in the world,positive
Helpful for getting knowledge,positive
Especially helpful for people who are far from home to keep contact with their family,positive
It helps in case of emergencies,positive
Social Networking is a worldwide connectivity,positive
There are websites to interact via the internet,positive
"With social networking site, you exchange information easily in real-time via a chat",positive
It's a great freedom of speech,positive
Managers use to update attendees,positive
Students rely on the virtual environment instead of  gaining practical knowledge from the real world, negative
people woe from emotional distress, negative
people spend hours using these sites and it  harms their performance in other fields, negative
Use as a means of interacting with clients or prospects,positive
Higher Risk of Fraud and Identity Theft, negative
Now we can easily bully or threat our fellow human beings with the help of social media, negative
People might do or say things on social sites that they would not have the guts to do in real life, negative
Convinient to spread false information, negative
It's social media development that we have a Google map,positive
Sometimes social media creates chaos in minds of people that proves to be dangerous, negative
Anything can be spread to millions of people in an instant,positive
People can take advantage because everything is being performed behind a  screen which makes it easier to make fun of someone (and not face to face) , negative
Anyone can forge a false identity on a social network & pose as  someone else, negative
Students have started relying more on the  information accessible easily on these social  web, negative
The most common disadvantage of social  networking sites is its addiction, negative
Health is negativelected by always staying on mobile screens, negative
Safety is at stake when you share everything online, negative
we can go where ever we want by following Google map,positive
We can get anything at our door steps through social media sites,positive
People are becoming addicted to it that is not good, negative
Staying intouch with people,positive
Wastes alot of time,negative
If you're in a condition where you have 24/7 access to social media you can barely concentrate on studies,positive
the internet is the ultimate online textbook,positive
Somehow it has become more important to maintain life on social media than in reality making our friends more distant while them still being on our all social media accounts, negative
People who are obsessed with their images on social media can get serious damage if bullied over the social media, negative
This can lead to several problems with suicides being the worst outcome, negative
Social media is great source of awareness,positive
Social sites elimainates a persons isolation, negative
stardom is easy to gain,positive
Utilize in term meetings for conference organizers,positive
Social media keeps you indoors and when you go out you seldom enjoy the time there and are just uploading stuff for the people on your social media to see, negative
People's lives are limited to just their profiles posts and likes, negative
It is a great source of interaction among people all around World,positive
Now Everyone's first priority is social media, negative
Putting their families aside that is a great loss, negative
Careem and uber such social media applications are very helpful now,positive
GPS system is really effective for a complete guide,positive
We can order food  online through many social media apps,positive
Concept of e-banking and now e-shopping is common now and it helps us a lot,positive
Online gaming has distracted kids from studying, negative
Now anyone can be a star of social media by uploading just few selfies and cool stuff,positive
Hacking others information and using it to blackmail them for personal benefits, negative
people degrade eachother indirectly on twitter, negative
YOU can make new friends,positive
yes it is useful,positive
yes it is sometimes useful,positive
whatsapp is good if used fine manner,positive
whatsapp help me to connect my friends,positive
waste muslim times ,negative
useful for people,positive
twitter is useful,positive
TLP has spread its message,positive
things are good but depends upon people,positive
social Media is for those people who have friends in high away places,positive
Social media does more bad,negative
You can Waste Time ,positive
No it is not useful,negative
whatsapp wastes my time,negative
usefully waste time,negative
twitter is not good,negative
there is bullying,negative
Succesfully conveying your shits,negative
spread hateness,negative
spread for negative things,negative
Social media is harmful to society,negative
social media harm,negative
Social media 5th generation war,negative
sensible people hate it,negative
rumours most of the time,negative
rumours ,negative
personal life is not saved,negative
No ethics,negative
More Ids less people,negative
more fake than good,negative
make fun about personal life,negative
its harmful to society,negative
it is not good for me,negative
it is not good for good person,negative
it is leading towards quarral,negative
it is leading towards destruction,negative
it is easy to spread fake news about someones respect,negative
it is easy to spread about someones respect,negative
it is against ethics,negative
it fuels our negative thoughts,negative
it fuels our negative addiction,negative
it controls your mind,negative
it controls you,negative
it causes sadness,negative
it causes depressiom,negative
it causes anxiety,negative
is not good,negative
instagram is not good,negative
i hate it,negative
I dont use it,negative
I dont know why people waste time in this,negative
I dont know why people waste time,negative
fb is not useful,negative
fb is not good,negative
fb is bad,negative
5th generation war,negative
anti islamic data is hurting muslims,negative
better than setting free,positive
better than sitting free,positive
bullyeing,negative
Cannot say anything,negative
depends on use,positive
depends on use most people take it bad,negative
depends on use most people take it negative,negative
destroy a lot of time,positive
destroy time,negative
destroying family life,negative
destroying personal and family life,negative
Doing my own buisness on instagram,positive
educational help,positive
facebook has destroyed my time,negative
facebook has destroyed my time alot,negative
facebook pages helps to improve knowledge,positive
fake,negative
fake people ,negative
fake self pity instagram,positive
false news,negative
fb destroy time,negative
fb helps to intract people,positive
fb is good,positive
fb is usefl,positive
fb is useful,positive
Global village,positive
helping in politics,positive
helps in communication ,positive
helps people learning about islam,positive
helps sharing negative thoughts,positive
helps sharing thoughts,positive
helps to convey message,positive
helps to improve knowledge,positive
helps to intract people,positive
helps to spread message,positive
I am learning ,positive
I can say it all depends on use,positive
i love it,positive
i love to use it ,positive
I love using fb in free,positive
I love using instagram in free,positive
I use it when I am free,positive
intract with new people,positive
is good,positive
it all depends on use,positive
it always depends on use,positive
it can help in education,positive
it for those people who have friends in high away places,positive
it helps sharing thoughts,positive
it helps us raising our voice,positive
it helps us raising our voice in world,positive
it is leading towards global vilage,positive
it is more good ,positive
it motivates,positive
learning ,positive
more good but it all depends on use,positive
my id  do not harm me,positive
new friends,positive
people become lazy,positive
search for job,positive
social media do not harm,positive
Social media does more good,positive
Social media helps convey our message to the world,positive
social media helps to spread message,positive
social Media is for those who have friends from far,positive
Social media is not harmful to society,positive
there are good things,positive
things are good but some people are not,positive
this  helps us raising our voice,positive
This  is for those who have friends from far,positive
this is good,positive
twitter helps conveying our message,positive
twitter helps to convey message,positive
twitter helps to intract people,positive
twitter helps us,positive
twitter helps us connecting,positive
twitter helps us raising our voice in world,positive
twitter is good,positive
updated to the world,positive
useful for TLP movement,positive
whatsapp help me to connect my family,positive
whatsapp helps me connecting people,positive
you can earn,positive
social media helps us in many ways,positive
social media has also bad impoact on our society,negative
social media can be helpful and get information about cuurent affairs,positive
we read news on any social media app,positive
our surroundings eg situation of people can also be seen through social media,positive
if we post on facebook then preople from different areas help us in solving our problems,positive
there are many informative pages on social media,positive
social media also keep us upto date according to time,positive
social media also tell about fashion of the world,positive
it is a good way of time pass,positive
social media help us to become famous,positive
social media also help us to make new friends from different area,positive
with the help of social media we can refresh our mind,positive
many funny posts on social media that entertain you,positive
groups are created by different people in which thay talk and share their ideas,positive
students make their group on social media in  which they discuss about lectures and assignment,positive
many islamic pages on social media which tell us about islam,positive
different companies advertise their product on social media,positive
social media become a trand without social media life is so borring,negative
the people do not use social media is look like old fashioned,negative
information about everything on social media,positive
social media keep in touch the friends from different areas of world,positive
many young genration build our relationship on social media which mostly have fake,negative
social media also distract our mind,negative
social media is wastes our time,negative
some people misuse of social media by spreading numerous,negative
many young boys play with the feelings of girls by social media,negative
there many adult groups which lead us to be the way of sins,negative
some bad post on social media distract our young genration,negative
social media is good way to spread ant fake news,negative
social media can be used to make a person good or bad by talk on his personality,negative
social media is big reason of genration gap,negative
social media can also be a reason of fight between people,negative
we can buy and sell our used things on social media,positive
we can sell our thing in mints through social media,positive
there are fake pages on social media which they sale low quallity product,negative
social media is good source of joy,positive
we can online shopping through social media,positive
most of student use social media as a timepass,negative
we findout old friends in facebook,positive
our genration misuse of social media,negative
our knowledge increase through social media,positive
we earn the money through social media,positive
social media is totally wasteage of time,negative
physicslly discount with people by social media,negative
our realtionship not strong because we just talk on social media not meet in real life,negative
we share our personal information which we want on social media,positive
our social media promot forien culture,negative
we have alot of information collect about our interst,positive
by misuse of social media crimes all over the world increaes,negative
by using fake accounts it is easy to blackmail someone,negative
most of the people use social media for nothing purpose,negative
social media is a type of share any informaation,positive
it is waste of time and cause many mental disorder,negative
it is helpful study online amd also introduced us with creativity of everything,positive
social media is a great way to comunicate each others,positive
by the social media our young genration is more talented,positive
social media play an important role in the history of any country,positive
social media finished the distance between the people,positive
by using social media the face to face coumunication is decrease,negative
it is very useful to aware new invention of the world,positive
social media is basically a concept of connecting people from far off distance,positive
social media has good as well as bad impacts on the lives of people,negative
people are getting into it and making social media is more important than their work,negative
social media make people more broad minded but it also has bad impact if we use it negative way,negative
social media is making children addict of spending their much time on mobiles etc,negative
social media a great way of connecting people,positive
Its recreational activity for some kinds of people,positive
You keep in touch with your friends and watch their activities and other things like that,positive
There is very good sources on social media regarding technologies world wide activities which updates you about these things even you have no access to TV,positive
you can update about the world news by just visit the news channel pages,positive
The main disadvantage of the social media is that decrease the open air activities or gaming in young generation,negative
they are just addicted of social media to waste most of the time on fb insta etc Which makes them lethargic,negative
There is also some negative material available which destroy the young generation badly and demolishing their thinking power,negative
Another thing by spending as much time on social media You can't give proper time to your family which causes many problems,negative
Good in some aspect you can connect the world easily in some seconds can communicate in less time and resources,positive
But it cause more ngtv impact on our family life We're compltly cut of from our love etc and more close to the ppl we dont know either never met,negative
We dont hve time for ours but have lots of time for so called social media frnds,negative
On social media one person  can send receive a message to from all over the world in no time,positive
Can share stuff like pics and vedios with friends & family,positive
Can talk about anything anywhere and anytime independently,positive
Can spend his boring time on Social Media,positive
It is bad for those people who spend lot of time on social media,negative
Hybrid way of promotion of brands,positive
Facebook friends through which you connect to them far miles away,positive
On children it provides you new way of using technology and tasks that can groom shrap your mentally level,positive
you are updated to world whats goin on other countries and what's the success steps they take to improve their country,positive
you blindly believe in fake news which in real have no truth value,negative
our young generation on internet do some irrelevant activities which have bad impact on the society,negative
we share everything on social media our love once come to know our activities,positive
Besides this we can watch news and learning things also there There is every thing SM it depends on you what you want to watch,positive
help us in communication everywhere in the world,positive
gain knowledge related to their field,positive
Inappropriate pages and accounts which ca cause bad impression on new generation,negative
harassment by misuse of account these are very common in these days now,negative
finnshed proper Understanding and Thoughtful feelings by social media coummnication,negative
social media make a man lazy,negative
by using social media mostly people loss of other interests,negative
Access to inappropriate videos for their age,negative
sexual predato to target the young people,negative
social media create a disturbance in class students use fb during lecture,negative
If you have no private account then people get private information about you,negative
Social media promote cyberbullying,negative
Connect to the world out there,positive
You can earn if you are clever,positive
You cut yourself off to the people sitting next to you, negative
Excess of everything is bad, negative
You are attach with friends,"positive	"
Wastage of time, negative
We are now talk to each other due to whatsapp,positive
Information,positive
Wrong info, negative
Too much usage, negative
A good entertainer,positive
Kept up to date,positive
There is more violence on social media,"	negative"
We get to know about different new inventions,positive
Spreading propaganda, negative
Having a peaceful strike on social media,positive
We come to know about new wonders,positive
No benefit of using social media, negative
Survey on social media by creating poll,positive
You can learn by using social media,positive
Teachers and students can connect through social media and can share important info,positive
You can advertise your products,positive
Hacking of personal data and money, negative
You can get public reviews and opinions,positive
People love facebook but the real worry is Students getting scam and wasting their education time, negative
Social media is playing an important role in making awareness,positive
Social media will with time have more disadvantages than advantages, negative
Social media is changing our life style due to its help in every field,positive
Misuse,"	negative"
Promotion for social welfare,positive
We can join different communities on social media,positive
Social media causing death by following the crazy stuff, negative
Social media allow people to share their reviews,positive
You can share about your business,positive
Women can start their own business so it supporting women empowerment,positive
Social networking sites have become source of news,positive
Different kinds of practice tests are available so we can prepare for test,positive
Safety Check is very helpful tool used by people in case of any disaster,positive
You can search different jobs,positive
It causing depression, negative
Social media causing anxiety, negative
Fake Identity on social media causing identity theft, negative
Excellent tool for education,positive
Imposing bad impact on student performance, negative
Causing cyber crime, negative
Students can enhance their knowledge by reading blogs,"	positive"
We can know the feedback about anything,positive
Causing loss of vision,"	negative"
Harassment ,"	negative"
Social media causing hypertension, negative
Spreading negative information,"	negative"
All news on one click,"	positive"
Can share our location temporary to our friends on whatsapp,positive
Causing back pain due to excess use,"	negative"
By using social sites we can attend the events near us,"	positive"
Sexual harassment, negative
Women Empowerment,positive
Keep our memories saved, positive
It helps the students in exams as people can share the pics,positive
Social media helping people in searching old friends,"	positive"
It reduced the cost of paper,"	positive"
People are going lazy day by day due to social media,"	negative"
18+ content easily available which is very harmful for children, negative
Improving social skills of the people,"	positive"
Social media increased my knowledge,"	positive"
People wasting time by playing online games on social media, negative
Social media is very Addictive and time consuming, negative
Wasting of money by activating different packages, negative
It has increased the ratio of break ups , negative
We can save posts which we like,positive
Speech independency,positive
Healthy conversation about any topic,positive
Causing data insecure, negative
Excess use of mobile causing cancer, negative
Increasing Typing skills, negative
negative impact on writing skills, negative
Creating groups and discuss about educational topics,positive
Creating learning communities,"	positive"
People seek out their personal status as well as their friendss,positive
People join different groups for amusing,positive
Ensures that reader has read the message,positive
Less expensive,"	positive"
Helps in relieving stress,positive
Social media earns respect,positive
Spending more time in chatting,"	negative"
spending more time in scrolling and do nothing,"	negative"
Ready made content,positive
social media have made planning much easier,positive
It make easier to spreading terrorism as terrorist can communicate through it,"	negative"
Platform for hate speech, negative
Social media is an Emerging technology,"	positive"
Unwarranted materials available on social media, negative
Interact with each other physically by using event tool on social media,positive
Upload and download photos and videos,"	positive"
Assignment help,positive
Online poll bar for voting,positive
Video conferencing tool of social media is very important for online interviews and lectures,"	positive"
Social media have made easy to access class relevant information such as notes because of google drive,"	positive"
People are not participating in social activities due to social media,"	negative"
depression and suisidal thoughts comes through social media,negative
socail media make the people to change their physical appearance,negative
socail media is a  very power full temptataion,negative
Social media keep connections between friends,positive
socila media makes us up yo date with the world,positive
youth can express their skills through social media,positive
social skills can also be developed by its use,positive
it is a better way to interact with your peers,positive
enables cheating on school and college assignments,negative
college students grades can also be dropped by the excessive use of media,negative
alcohol and use of drugs can be learnt through social media,negative
advertisements of companies can be done through social media,positive
exposure to cooperate with government companis can be increased through it,positive
insurance companias use info gleaned fromsocial media,positive
online advisetisement of companias can be done thriugh social media,positive
TV networking sites can be run social media,positive
copy right products can be selled through social media,negative
number of sexual predators are increasing day by day,negative
virus spreading is become populor by spam messges on social media,negative
sexting  a big social issue is due to social media,negative
cyber bullying on social media may lead to suicide,negative
addition of electronic devisces is results of social media,negative
Business owners can connect their official pages on the social media platforms,positive
depression are increasing day by day,negative
self asteem is also the result of social media,negative
false news can also be spread through media,negative
islamic posts can be shared by it,positive
money can also be earned by social media,positive
criminals use social media to commit crimes,negative
social networking sites provide a  way of experience to teen agers,negative
friend ship through out the world is increasing day by day due to social media,positive
teens use social media for their education purposes,positive
texting in social media is a source of communication,positive
data can quickly be spreaded throuhj social media,positive
law also uses social media to catch criminals,positive
social media gives students a source of information to perform better at their schools,positive
